Month,Day,Hour,Trips
7,Saturday,16,5482
7,Saturday,17,5483
7,Saturday,18,5838
7,Saturday,19,4913
7,Saturday,20,5396
7,Saturday,21,5901
7,Saturday,22,6337
7,Saturday,23,5600
7,Sunday,0,4360
7,Sunday,1,3318
7,Sunday,2,2553
7,Sunday,3,1908
7,Sunday,4,982
7,Sunday,5,925
7,Sunday,6,1027
7,Sunday,7,1265
7,Sunday,8,1867
7,Sunday,9,2630
7,Sunday,10,3205
7,Sunday,11,3835
7,Sunday,12,3810
7,Sunday,13,4501
7,Sunday,14,4582
7,Sunday,15,4562
7,Sunday,16,4867
7,Sunday,17,4926
7,Sunday,18,4263
7,Sunday,19,3700
7,Sunday,20,4012
7,Sunday,21,3740
7,Sunday,22,3291
7,Sunday,23,2198
7,Thursday,0,2150
7,Thursday,1,1157
7,Thursday,2,855
7,Thursday,3,1283
7,Thursday,4,1884
7,Thursday,5,2931
7,Thursday,6,4796
7,Thursday,7,6709
7,Thursday,8,6683
7,Thursday,9,5385
7,Thursday,10,5071
7,Thursday,11,5370
7,Thursday,12,5510
7,Thursday,13,6275
7,Thursday,14,7443
7,Thursday,15,8654
7,Thursday,16,9691
7,Thursday,17,10485
7,Thursday,18,11203
7,Thursday,19,10848
7,Thursday,20,10177
7,Thursday,21,9545
7,Thursday,22,8578
7,Thursday,23,5756
7,Tuesday,0,1509
7,Tuesday,1,779
7,Tuesday,2,556
7,Tuesday,3,935
7,Tuesday,4,1483
7,Tuesday,5,2730
7,Tuesday,6,4811
7,Tuesday,7,6750
7,Tuesday,8,6662
7,Tuesday,9,5061
7,Tuesday,10,4887
7,Tuesday,11,4939
7,Tuesday,12,5154
7,Tuesday,13,6583
7,Tuesday,14,7551
7,Tuesday,15,7951
7,Tuesday,16,9219
7,Tuesday,17,11712
7,Tuesday,18,10992
7,Tuesday,19,9983
7,Tuesday,20,9781
7,Tuesday,21,8297
7,Tuesday,22,5806
7,Tuesday,23,3323
7,Wednesday,0,1773
7,Wednesday,1,966
7,Wednesday,2,780
7,Wednesday,3,1120
7,Wednesday,4,1630
7,Wednesday,5,2799
7,Wednesday,6,5017
7,Wednesday,7,7129
7,Wednesday,8,7125
7,Wednesday,9,5419
7,Wednesday,10,5176
7,Wednesday,11,5265
7,Wednesday,12,5425
7,Wednesday,13,6110
7,Wednesday,14,7229
7,Wednesday,15,8719
7,Wednesday,16,10421
7,Wednesday,17,11669
7,Wednesday,18,11739
7,Wednesday,19,10563
7,Wednesday,20,10491
7,Wednesday,21,9751
7,Wednesday,22,7275
7,Wednesday,23,4126
8,Friday,0,3536
8,Friday,1,2064
8,Friday,2,1331
8,Friday,3,1660
8,Friday,4,2162
8,Friday,5,3101
8,Friday,6,4651
8,Friday,7,6601
8,Friday,8,6753
8,Friday,9,5512
8,Friday,10,5424
8,Friday,11,5424
8,Friday,12,5381
8,Friday,13,6367
8,Friday,14,7197
8,Friday,15,8803
8,Friday,16,9401
8,Friday,17,9655
8,Friday,18,9484
8,Friday,19,9227
8,Friday,20,8321
8,Friday,21,9075
8,Friday,22,9488
8,Friday,23,8056
8,Monday,0,1094
8,Monday,1,684
8,Monday,2,560
8,Monday,3,1186
8,Monday,4,1836
8,Monday,5,2786
8,Monday,6,4098
8,Monday,7,5357
8,Monday,8,5060
8,Monday,9,3844
8,Monday,10,3666
8,Monday,11,3592
8,Monday,12,3564
8,Monday,13,3995
8,Monday,14,4572
8,Monday,15,5251
8,Monday,16,5974
8,Monday,17,6508
8,Monday,18,6135
8,Monday,19,5773
8,Monday,20,5586
8,Monday,21,4775
8,Monday,22,3559
8,Monday,23,2178
8,Saturday,0,5828
8,Saturday,1,4209
8,Saturday,2,2857
8,Saturday,3,2293
8,Saturday,4,1793
8,Saturday,5,1801
8,Saturday,6,2089
8,Saturday,7,2541
8,Saturday,8,3228
8,Saturday,9,3863
8,Saturday,10,4317
8,Saturday,11,4762
8,Saturday,12,5132
8,Saturday,13,5522
8,Saturday,14,6276
8,Saturday,15,7478
8,Saturday,16,7884
8,Saturday,17,8291
8,Saturday,18,8846
8,Saturday,19,8521
8,Saturday,20,8192
8,Saturday,21,8830
8,Saturday,22,9506
8,Saturday,23,8166
8,Sunday,0,6429
8,Sunday,1,4759
8,Sunday,2,3439
8,Sunday,3,2399
8,Sunday,4,1530
8,Sunday,5,1459
8,Sunday,6,1479
8,Sunday,7,2100
8,Sunday,8,2766
8,Sunday,9,3669
8,Sunday,10,4530
8,Sunday,11,5079
8,Sunday,12,5223
8,Sunday,13,5573
8,Sunday,14,5977
8,Sunday,15,6873
8,Sunday,16,7296
8,Sunday,17,7259
8,Sunday,18,6459
8,Sunday,19,6195
8,Sunday,20,5990
8,Sunday,21,5659
8,Sunday,22,4839
8,Sunday,23,3265
8,Thursday,0,1800
8,Thursday,1,1055
8,Thursday,2,745
8,Thursday,3,1099
8,Thursday,4,1633
8,Thursday,5,2497
8,Thursday,6,4069
8,Thursday,7,5690
8,Thursday,8,5454
8,Thursday,9,4536
8,Thursday,10,4434
8,Thursday,11,4459
8,Thursday,12,4410
8,Thursday,13,4896
8,Thursday,14,5809
8,Thursday,15,6936
8,Thursday,16,7818
8,Thursday,17,8592
8,Thursday,18,8563
8,Thursday,19,8512
8,Thursday,20,8549
8,Thursday,21,8762
8,Thursday,22,8063
8,Thursday,23,5736
8,Tuesday,0,1115
8,Tuesday,1,733
8,Tuesday,2,508
8,Tuesday,3,772
8,Tuesday,4,1337
8,Tuesday,5,2270
8,Tuesday,6,3975
8,Tuesday,7,5614
8,Tuesday,8,5350
8,Tuesday,9,4196
8,Tuesday,10,3896
8,Tuesday,11,4093
8,Tuesday,12,3992
8,Tuesday,13,4632
8,Tuesday,14,5501
8,Tuesday,15,6361
8,Tuesday,16,7426
8,Tuesday,17,8297
8,Tuesday,18,7999
8,Tuesday,19,7273
8,Tuesday,20,7300
8,Tuesday,21,6630
8,Tuesday,22,4951
8,Tuesday,23,2903
8,Wednesday,0,1649
8,Wednesday,1,967
8,Wednesday,2,665
8,Wednesday,3,967
8,Wednesday,4,1483
8,Wednesday,5,2611
8,Wednesday,6,4546
8,Wednesday,7,6161
8,Wednesday,8,5955
8,Wednesday,9,4575
8,Wednesday,10,4439
8,Wednesday,11,4369
8,Wednesday,12,4404
8,Wednesday,13,4779
8,Wednesday,14,5312
8,Wednesday,15,6495
8,Wednesday,16,7682
8,Wednesday,17,8520
8,Wednesday,18,7904
8,Wednesday,19,7507
8,Wednesday,20,7736
8,Wednesday,21,7623
8,Wednesday,22,5602
8,Wednesday,23,3305
9,Friday,0,2513
9,Friday,1,1530
9,Friday,2,1002
9,Friday,3,1347
9,Friday,4,1819
9,Friday,5,3115
9,Friday,6,5186
9,Friday,7,6698
9,Friday,8,6715
9,Friday,9,5615
9,Friday,10,5355
9,Friday,11,5230
9,Friday,12,5388
9,Friday,13,6238
9,Friday,14,7431
9,Friday,15,8696
9,Friday,16,9792
9,Friday,17,11175
9,Friday,18,12315
9,Friday,19,11765
9,Friday,20,10345
9,Friday,21,10947
9,Friday,22,10797
9,Friday,23,9366
9,Monday,0,1885
9,Monday,1,1201
9,Monday,2,977
9,Monday,3,1780
9,Monday,4,2479
9,Monday,5,3905
9,Monday,6,5668
9,Monday,7,7223
9,Monday,8,7287
9,Monday,9,5892
9,Monday,10,5358
9,Monday,11,5461
9,Monday,12,5415
9,Monday,13,6245
9,Monday,14,7113
9,Monday,15,8346
9,Monday,16,9513
9,Monday,17,9841
9,Monday,18,9611
9,Monday,19,8725
9,Monday,20,8318
9,Monday,21,6979
9,Monday,22,5130
9,Monday,23,2936
9,Saturday,0,6909
9,Saturday,1,4737
9,Saturday,2,2957
9,Saturday,3,2029
9,Saturday,4,1458
9,Saturday,5,1544
9,Saturday,6,2092
9,Saturday,7,2790
9,Saturday,8,3664
9,Saturday,9,4352
9,Saturday,10,5132
9,Saturday,11,5801
9,Saturday,12,6114
9,Saturday,13,7049
9,Saturday,14,8732
9,Saturday,15,9857
9,Saturday,16,10494
9,Saturday,17,11021
9,Saturday,18,11753
9,Saturday,19,11423
9,Saturday,20,9841
9,Saturday,21,10723
9,Saturday,22,11173
9,Saturday,23,10412
9,Sunday,0,8164
9,Sunday,1,5933
9,Sunday,2,3846
9,Sunday,3,2358
9,Sunday,4,1494
9,Sunday,5,1618
9,Sunday,6,1683
9,Sunday,7,2280
9,Sunday,8,3109
9,Sunday,9,3915
9,Sunday,10,4688
9,Sunday,11,5508
9,Sunday,12,5637
9,Sunday,13,6230
9,Sunday,14,6707
9,Sunday,15,7167
9,Sunday,16,7670
9,Sunday,17,7371
9,Sunday,18,7189
9,Sunday,19,6430
9,Sunday,20,5930
9,Sunday,21,5164
9,Sunday,22,4115
9,Sunday,23,2326
9,Thursday,0,1762
9,Thursday,1,1037
9,Thursday,2,714
9,Thursday,3,1088
9,Thursday,4,1720
9,Thursday,5,2754
9,Thursday,6,5586
9,Thursday,7,7790
9,Thursday,8,7663
9,Thursday,9,6330
9,Thursday,10,5655
9,Thursday,11,5723
9,Thursday,12,5641
9,Thursday,13,6368
9,Thursday,14,7419
